race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes,course_id,cup,nth_race,debut_console,selected
46,SNES Bowser Castle 3,150,9,Wii Wario's Gold Mine,4,44.44%,95,Spiny,3,SNES,False
46,SNES Bowser Castle 3,150,9,SNES Bowser Castle 3,2,22.22%,95,Spiny,3,SNES,True
47,Sunshine Airport,150,10,Sunshine Airport,5,50.00%,9,Star,1,Wii U,True
47,Sunshine Airport,150,10,Squeaky Clean Sprint,3,30.00%,9,Star,1,Wii U,False
47,Sunshine Airport,150,10,SNES Bowser Castle 3,2,20.00%,9,Star,1,Wii U,False
48,SNES Mario Circuit 3,Mirror,9,Random,4,44.44%,58,Turnip,2,SNES,False
48,SNES Mario Circuit 3,Mirror,9,Dolphin Shoals,1,11.11%,58,Turnip,2,SNES,False
48,SNES Mario Circuit 3,Mirror,9,SNES Mario Circuit 3,1,11.11%,58,Turnip,2,SNES,True
48,SNES Mario Circuit 3,Mirror,9,Wii Wario's Gold Mine,3,33.33%,58,Turnip,2,SNES,False
49,Electrodome,150,7,3DS Neo Bowser City,3,42.86%,11,Star,3,Wii U,False
49,Electrodome,150,7,3DS Toad Circuit,2,28.57%,11,Star,3,Wii U,False
49,Electrodome,150,7,Electrodome,1,14.29%,11,Star,3,Wii U,True
49,Electrodome,150,7,Random,1,14.29%,11,Star,3,Wii U,False
50,Twisted Mansion,Mirror,12,SNES Rainbow Road,2,16.67%,7,Flower,3,Wii U,False
50,Twisted Mansion,Mirror,12,Wii Wario's Gold Mine,4,33.33%,7,Flower,3,Wii U,False
50,Twisted Mansion,Mirror,12,GBA Riverside Park,4,33.33%,7,Flower,3,Wii U,False
50,Twisted Mansion,Mirror,12,Random,1,8.33%,7,Flower,3,Wii U,False
50,Twisted Mansion,Mirror,12,Twisted Mansion,1,8.33%,7,Flower,3,Wii U,True
51,Mount Wario,150,12,Wii Koopa Cape,5,41.67%,12,Star,4,Wii U,False
