race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes
19,3DS Neo Bowser City,150,11,Tour Madrid Drive,1,9.09%
19,3DS Neo Bowser City,150,11,Random,3,27.27%
19,3DS Neo Bowser City,150,11,Toad Harbor,1,9.09%
19,3DS Neo Bowser City,150,11,3DS Neo Bowser City,1,9.09%
20,Mario Circuit,150,10,Mario Circuit,1,10.00%
20,Mario Circuit,150,10,Wii Moonview Highway,2,20.00%
20,Mario Circuit,150,10,Random,4,40.00%
20,Mario Circuit,150,10,Wii Coconut Mall,3,30.00%
21,Wii Coconut Mall,150,12,Wii Coconut Mall,7,58.33%
21,Wii Coconut Mall,150,12,Toad Harbor,3,25.00%
21,Wii Coconut Mall,150,12,GBA Boo Lake,2,16.67%
22,3DS Toad Circuit,150,12,3DS Toad Circuit,5,41.67%
22,3DS Toad Circuit,150,12,3DS Music Park,4,33.33%
22,3DS Toad Circuit,150,12,N64 Choco Mountain,2,16.67%
22,3DS Toad Circuit,150,12,Random,1,8.33%
23,GBA Sunset Wilds,150,12,Random,3,25.00%
23,GBA Sunset Wilds,150,12,DS Wario Stadium,4,33.33%
23,GBA Sunset Wilds,150,12,Animal Crossing,3,25.00%
23,GBA Sunset Wilds,150,12,GBA Snow Land,1,8.33%
23,GBA Sunset Wilds,150,12,GBA Sunset Wilds,1,8.33%
24,Tour Singapore Speedway,200,8,Wii Moo Moo Meadows,5,62.50%
24,Tour Singapore Speedway,200,8,Tour Singapore Speedway,3,37.50%
25,3DS Rock Rock Mountain,150,9,Wild Woods,5,55.56%
25,3DS Rock Rock Mountain,150,9,Tour Sydney Sprint,1,11.11%
25,3DS Rock Rock Mountain,150,9,3DS Rock Rock Mountain,3,33.33%
26,Tour Paris Promenade,150,12,DS Waluigi Pinball,4,33.33%
26,Tour Paris Promenade,150,12,Tour Athens Dash,1,8.33%
26,Tour Paris Promenade,150,12,Tour Paris Promenade,5,41.67%
26,Tour Paris Promenade,150,12,Random,2,16.67%
27,Cloudtop Cruise,150,9,Cloudtop Cruise,5,55.56%
27,Cloudtop Cruise,150,9,Random,1,11.11%
27,Cloudtop Cruise,150,9,Merry Mountain,2,22.22%
27,Cloudtop Cruise,150,9,Tour Los Angeles Laps,1,11.11%
28,Ice Ice Outpost,150,9,Ice Ice Outpost,3,33.33%
28,Ice Ice Outpost,150,9,GBA Ribbon Road,6,66.67%
29,Tour Berlin Byways,150,8,Random,3,37.50%
29,Tour Berlin Byways,150,8,Tour Tokyo Blur,4,50.00%
29,Tour Berlin Byways,150,8,Tour Berlin Byways,1,12.50%
30,3DS Neo Bowser City,150,4,3DS Neo Bowser City,3,75.00%
30,3DS Neo Bowser City,150,4,Piranha Plant Cove,1,25.00%
31,DS Cheep Cheep Beach,150,12,GCN Waluigi Stadium,3,25.00%
31,DS Cheep Cheep Beach,150,12,Random,3,25.00%
31,DS Cheep Cheep Beach,150,12,Ice Ice Outpost,3,25.00%
31,DS Cheep Cheep Beach,150,12,DS Cheep Cheep Beach,3,25.00%
32,N64 Rainbow Road,150,11,DS Peach Gardens,3,27.27%
32,N64 Rainbow Road,150,11,3DS Rainbow Road,5,45.45%
32,N64 Rainbow Road,150,11,Random,1,9.09%
32,N64 Rainbow Road,150,11,N64 Rainbow Road,2,18.18%
33,GBA Mario Circuit,150,12,Wii Rainbow Road,7,58.33%
33,GBA Mario Circuit,150,12,Random,2,16.67%
33,GBA Mario Circuit,150,12,Wii Maple Treeway,1,8.33%
